THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICER HAS BEEN LYING IN ORDER TO OBTAIN SEARCH WARRANTS. HE/SHE ALLEGES THAT THE ACCUSED OFFICER TAKES DRUG ADDICTS BEFORE JUDGES WITH FABRICATED TESTIMONY TO OBTAIN SEARCH WARRANTS THAT WERE NOT BASED ON, PROBALE CAUSE. HE/SHE FURTHER ALLEGES THAT DURING SEVERAL ARREST AND SEARCH WARRANTS, MONEY AND. JEWELRY HAVE BEEN STOLEN FROM THE CITIZEN'S RESIDENCES. THE REPORTING PARTY ALLEGES THAT THE ACCUSED OFFICER HAS BEEN LYING IN ORDER TO OBTAIN SEARCH WARRANTS. HE/SHE ALLEGES THAT THE ACCUSED OFFICER TAKES DRUG ADDICTS BEFORE JUDGES WITH FABRICATED TESTIMONY TO OBTAIN SEARCH WARRANTS THAT WERE NOT BASED ON, PROBALE CAUSE. HE/SHE FURTHER ALLEGES THAT DURING SEVERAL ARREST AND SEARCH WARRANTS, MONEY AND. JEWELRY HAVE BEEN STOLEN FROM THE CITIZEN'S RESIDENCES.	Illegal Search
The complainant alleged that the accused officers planted narcotics on him and falsely arrested him. The complainant also alleged that the accused officer offered to release him if he gave them gun. The complainant alleged that the accused officers planted narcotics on him and falsely arrested him. The complainant also alleged that the accused officer offered to release him if he gave them gun.	False Arrest
The complainant who did not witness the incident alleges that her neighbor called 911 about unknown subjects attempting to rob her daughter and the accused officers failed to respond	Operation/Personnel Violations
The reporting party alleges that the accused officers “"choked" the victim until he passed out.	Use Of Force
The complainant alleges that the accused officer took her purse, kidnapped her and took her to St Bernard's Hospital because she was laying on the grassy area in front of her residence.	Illegal Search
The reporting party alleges that he went to the 022nd Police station to file a complaint and get a traffic accident report. The reporting party alleges that the officer refused to listen to his side of the story and stated, "You didn't get a report at the scene so you want one now, why didn't you want one at the scene, | didn&#8217;t get the plate number, so what do you want a report for, get the fuck out of here!" The reporting party states that he works in the 022nd District and that he is in fear of being retaliated against by the accused officers and other sworn members for filing this complaint.  The reporting party alleges that he walked back into the 022nd police station and requested the accused officer's name and star number (P.O. Long #19224) for a second time and the accused officer provided his information. The reporting party alleges that while he was getting the information that another white male uniformed officer approached the desk and stated in an aggressive manner, "Get the fuck out of here!" The reporting party alleges that he observed a another marked vehicle in the parking lot of Jewel's located at 1600 West Ashland Avenue , The reporting party alleges that he approached the vehicle and requested assistance from a male white uniformed supervisor. The reporting party alleges supervisor refused to assist him and that he stated, "Well what do you want me to do, did you get the plate number, how am | going to do a report without the plate number?" The reporting party alleges that a Hispanic female uniformed officer refused to assist him after he was struck by a side view mirror from a vehicle in traffic after securing a vehicle to be towed. The reporting party alleges that the Hispanic female officer stated, “There's nothing | can do the tow was down the street, | have to sit in front of the glass, I'm here by myself, there's nothing | can do."	Operation/Personnel Violations
The reporting party stated that while she was at the Martin Luther King Skating Rink with 40 students from Walter Reed Elementary school and she called the police because an uknown male struck one of her students. The reporting party alleged that she waited over half an hour, called "911" again and no one responded	Operation/Personnel Violations
The reporting party alleged that the accused stopped and searched him without justification. The reporting party further alleged that the accused falsely arrested him for possession of a controlled substance and impounded his girlfriend's for car no apparent reason.	False Arrest
The reporting party related that the accused officer responded to her call about the victim being beaten by her mother. The reporting party alleged that the accused officer refused to provide police service. The reporting party related that the accused officer responded to her call about the victim being beaten by her mother. The reporting party alleged that the accused officer refused to provide police service.  The reporting party alleged that the accused sergeant yelled at her and refused to provide police service. When the reporting party told the accused sergeant that the victim had been beaten by her mother, the accused sergeant told the reporting party that “corporal punishment is legal in Illinois." The accused sergeant also ordered witness PO Perez to leave the reporting party's residence, where PO Perez is recuperating from a medical procedure.	Operation/Personnel Violations
The complainant alleges that the accused officer failed to identify himself upon request.	Operation/Personnel Violations
failed to inventory or return wallet, $250.00 USC, his hat, or his car keys. Directed profanity at ~ callea a "Puerto Rican bitch."	Verbal Abuse
On 10 May 2008, a complaint was registered with the Independent Police Review Authority (IPRA) regarding an incident that occurred in the 11th District, on May 10, 2008, in which an off-duty Chicago Police Department (CPD) officer allegedly stuck her adult daughter with a belt. It was also alleged that the officer failed to cooperate with the police investigation regarding this incident and made a false report to IPRA. Because the complainant did not give a sworn affidavit regarding the incident with the belt, IPRA recommended that this allegation be classified as NO AFFIDAVIT. However, based on witness statements from other CPD officers and personnel, IPRA recommended to SUSTAIN the allegation that the accused officer failed to cooperate with a police investigation and to SUSTAIN the allegation that she gave a false statement to IPRA regarding the incident. IPRA recommended a penalty of thirty (30) days suspension.	Domestic
to leave. The reporting party feels that the actions from the responding officers were due to the subject . having a relative by the name of Daniels, who is a detective for the Chicago Police department.	Operation/Personnel Violations
The complainant alleges that during the course of his arrest an unknown white male uniformed officer removed his smart ZTE phone by Crickett which was not inventoried.	Lockup Procedures
The reporting party alleged that the accused officers stopped and searched him for no reason. The reporting party also alleged that the accused officers searched his vehicle without a warrant, permission, or justification. No citation issued	Illegal Search
