year,percentage
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0.3485928128364177
2001,0.18585858585858586
2002,0.24187975120939878
2003,0.33438038301752965
2004,0.3922034704064654
2005,0.9466708740927736
2006,0.5994405221792993
2007,0.297303036738161
2008,0.24088093599449414
2009,0.35285815102328866
2010,0.5057408419901586
2011,0.8166533226581264
2012,0.897021887334051
2013,1.7169811320754718
2014,4.208654416123296
2015,8.124280782508631
2016,12.940275650842267
2017,1.085883514313919
2018,1.1029411764705883
