original_category,new_category,frequency
Operation/Personnel Violations,topic_15,220
Domestic,topic_15,153
Use Of Force,topic_15,561
Conduct Unbecoming (Off-Duty),topic_15,15
Drug / Alcohol Abuse,topic_15,18
Operation/Personnel Violations,topic_5,570
Use Of Force,topic_6,278
Illegal Search,topic_1,15
Supervisory Responsibilities,topic_1,1
Operation/Personnel Violations,topic_13,110
Verbal Abuse,topic_6,17
Supervisory Responsibilities,topic_15,32
Domestic,topic_11,4
Operation/Personnel Violations,topic_14,2030
Drug / Alcohol Abuse,topic_14,2
Operation/Personnel Violations,topic_1,98
False Arrest,topic_12,295
Illegal Search,topic_9,348
Illegal Search,topic_5,321
Use Of Force,topic_5,72
Use Of Force,topic_12,59
Lockup Procedures,topic_4,411
Operation/Personnel Violations,topic_11,244
Use Of Force,topic_8,89
Use Of Force,topic_3,45
Use Of Force,topic_7,43
Lockup Procedures,topic_7,50
Lockup Procedures,topic_11,75
Verbal Abuse,topic_5,52
Illegal Search,topic_3,618
Verbal Abuse,topic_3,5
Domestic,topic_17,6
Lockup Procedures,topic_16,3
Traffic,topic_11,101
Operation/Personnel Violations,topic_17,99
Operation/Personnel Violations,topic_3,55
Operation/Personnel Violations,topic_19,61
Illegal Search,topic_4,161
Conduct Unbecoming (Off-Duty),topic_16,7
False Arrest,topic_4,40
False Arrest,topic_14,85
Drug / Alcohol Abuse,topic_4,3
Illegal Search,topic_10,49
Use Of Force,topic_9,21
Operation/Personnel Violations,topic_7,53
Conduct Unbecoming (Off-Duty),topic_19,7
Traffic,topic_5,61
Conduct Unbecoming (Off-Duty),topic_2,7
Illegal Search,topic_8,24
Lockup Procedures,topic_14,82
False Arrest,topic_3,207
Illegal Search,topic_17,201
Lockup Procedures,topic_17,28
Illegal Search,topic_0,50
False Arrest,topic_5,97
Lockup Procedures,topic_13,18
False Arrest,topic_0,80
Illegal Search,topic_14,109
Domestic,topic_5,29
Conduct Unbecoming (Off-Duty),topic_6,4
Operation/Personnel Violations,topic_16,54
False Arrest,topic_17,84
Use Of Force,topic_0,13
Conduct Unbecoming (Off-Duty),topic_17,3
Lockup Procedures,topic_5,44
Illegal Search,topic_11,63
Operation/Personnel Violations,topic_4,153
Lockup Procedures,topic_19,12
Operation/Personnel Violations,topic_2,30
Illegal Search,topic_12,95
Operation/Personnel Violations,topic_10,123
False Arrest,topic_16,33
Verbal Abuse,topic_12,1
Lockup Procedures,topic_1,26
Conduct Unbecoming (Off-Duty),topic_14,29
Conduct Unbecoming (Off-Duty),topic_1,23
Conduct Unbecoming (Off-Duty),topic_18,3
Illegal Search,topic_18,67
Traffic,topic_17,12
Criminal Misconduct,topic_19,8
Use Of Force,topic_19,139
Operation/Personnel Violations,topic_6,60
Use Of Force,topic_11,45
Domestic,topic_14,17
Operation/Personnel Violations,topic_9,58
Bribery / Official Corruption,topic_10,4
Use Of Force,topic_17,36
Lockup Procedures,topic_0,37
Domestic,topic_13,19
Domestic,topic_1,10
False Arrest,topic_1,19
Conduct Unbecoming (Off-Duty),topic_13,12
Traffic,topic_14,17
Use Of Force,topic_18,28
Drug / Alcohol Abuse,topic_18,3
Domestic,topic_8,5
False Arrest,topic_10,117
False Arrest,topic_18,50
Illegal Search,topic_15,23
Use Of Force,topic_4,21
Traffic,topic_4,9
Illegal Search,topic_7,108
Traffic,topic_3,58
Drug / Alcohol Abuse,topic_12,4
Illegal Search,topic_2,10
False Arrest,topic_11,43
Excessive Force,topic_11,2
Criminal Misconduct,topic_4,1
Conduct Unbecoming (Off-Duty),topic_10,67
Operation/Personnel Violations,topic_0,48
Conduct Unbecoming (Off-Duty),topic_8,19
Conduct Unbecoming (Off-Duty),topic_0,23
Lockup Procedures,topic_2,54
Traffic,topic_18,7
Verbal Abuse,topic_15,41
Operation/Personnel Violations,topic_8,33
Conduct Unbecoming (Off-Duty),topic_5,38
Illegal Search,topic_19,22
Illegal Search,topic_6,10
Domestic,topic_18,5
Lockup Procedures,topic_10,8
False Arrest,topic_6,48
Criminal Misconduct,topic_16,4
Conduct Unbecoming (Off-Duty),topic_11,11
Excessive Force,topic_6,8
False Arrest,topic_7,30
Drug / Alcohol Abuse,topic_1,5
Use Of Force,topic_1,44
Verbal Abuse,topic_7,3
Operation/Personnel Violations,topic_12,38
False Arrest,topic_9,61
Lockup Procedures,topic_12,30
Illegal Search,topic_13,25
Lockup Procedures,topic_6,25
False Arrest,topic_19,33
Domestic,topic_19,7
Verbal Abuse,topic_19,3
Drug / Alcohol Abuse,topic_0,3
Supervisory Responsibilities,topic_14,24
Bribery / Official Corruption,topic_15,1
Lockup Procedures,topic_3,29
Conduct Unbecoming (Off-Duty),topic_3,8
Conduct Unbecoming (Off-Duty),topic_12,6
Operation/Personnel Violations,topic_18,29
Use Of Force,topic_14,36
Drug / Alcohol Abuse,topic_13,2
Supervisory Responsibilities,topic_5,10
Lockup Procedures,topic_18,18
Illegal Search,topic_16,11
Verbal Abuse,topic_4,4
Traffic,topic_15,2
Bribery / Official Corruption,topic_12,7
False Arrest,topic_13,14
Conduct Unbecoming (Off-Duty),topic_7,4
False Arrest,topic_2,18
Conduct Unbecoming (Off-Duty),topic_4,4
False Arrest,topic_8,11
Racial Profiling,topic_19,1
Verbal Abuse,topic_14,2
Verbal Abuse,topic_17,4
Supervisory Responsibilities,topic_17,3
Domestic,topic_12,2
Lockup Procedures,topic_15,9
Verbal Abuse,topic_11,6
Domestic,topic_3,3
Traffic,topic_1,1
Criminal Misconduct,topic_17,2
Criminal Misconduct,topic_1,6
First Amendment,topic_3,3
False Arrest,topic_15,8
Drug / Alcohol Abuse,topic_17,1
