original_category,new_category,frequency
Operation/Personnel Violations,topic_3,120
Domestic,topic_3,130
Use Of Force,topic_3,398
Use Of Force,topic_8,134
Conduct Unbecoming (Off-Duty),topic_3,12
Drug / Alcohol Abuse,topic_3,13
Operation/Personnel Violations,topic_18,1131
Use Of Force,topic_16,55
Illegal Search,topic_15,130
Supervisory Responsibilities,topic_15,1
Operation/Personnel Violations,topic_8,226
Verbal Abuse,topic_5,3
Supervisory Responsibilities,topic_3,23
Use Of Force,topic_4,259
Operation/Personnel Violations,topic_2,1229
Use Of Force,topic_5,37
Drug / Alcohol Abuse,topic_11,1
False Arrest,topic_10,430
Operation/Personnel Violations,topic_11,107
Illegal Search,topic_7,529
Illegal Search,topic_18,292
Use Of Force,topic_18,42
Lockup Procedures,topic_0,450
Operation/Personnel Violations,topic_12,78
Lockup Procedures,topic_18,81
Use Of Force,topic_10,62
Use Of Force,topic_6,28
Lockup Procedures,topic_4,27
Verbal Abuse,topic_10,13
Illegal Search,topic_10,769
Illegal Search,topic_12,24
Domestic,topic_15,7
Lockup Procedures,topic_3,9
Traffic,topic_6,75
Verbal Abuse,topic_15,27
Use Of Force,topic_15,32
Operation/Personnel Violations,topic_1,41
Lockup Procedures,topic_6,46
Operation/Personnel Violations,topic_14,93
Illegal Search,topic_6,53
Conduct Unbecoming (Off-Duty),topic_9,23
Operation/Personnel Violations,topic_10,86
False Arrest,topic_0,76
False Arrest,topic_18,149
Drug / Alcohol Abuse,topic_8,7
Lockup Procedures,topic_10,52
Illegal Search,topic_2,35
Use Of Force,topic_7,29
Operation/Personnel Violations,topic_7,124
Conduct Unbecoming (Off-Duty),topic_6,34
Traffic,topic_10,74
Traffic,topic_18,68
Illegal Search,topic_0,154
Operation/Personnel Violations,topic_6,264
Lockup Procedures,topic_2,37
Lockup Procedures,topic_1,25
Use Of Force,topic_2,32
Operation/Personnel Violations,topic_4,58
Verbal Abuse,topic_18,12
False Arrest,topic_11,17
False Arrest,topic_15,74
Lockup Procedures,topic_5,34
False Arrest,topic_4,37
Domestic,topic_18,15
Conduct Unbecoming (Off-Duty),topic_12,3
Illegal Search,topic_16,27
Illegal Search,topic_1,7
Conduct Unbecoming (Off-Duty),topic_15,26
False Arrest,topic_19,91
Illegal Search,topic_5,19
Operation/Personnel Violations,topic_0,181
Operation/Personnel Violations,topic_15,174
False Arrest,topic_6,23
False Arrest,topic_8,14
Verbal Abuse,topic_9,3
Conduct Unbecoming (Off-Duty),topic_18,23
Conduct Unbecoming (Off-Duty),topic_14,11
Lockup Procedures,topic_11,5
Verbal Abuse,topic_13,8
Use Of Force,topic_13,31
Domestic,topic_13,2
Conduct Unbecoming (Off-Duty),topic_2,25
Operation/Personnel Violations,topic_9,41
Criminal Misconduct,topic_14,11
Lockup Procedures,topic_9,40
Use Of Force,topic_12,314
Lockup Procedures,topic_14,45
Domestic,topic_12,17
Domestic,topic_10,7
Operation/Personnel Violations,topic_19,31
Bribery / Official Corruption,topic_2,1
Domestic,topic_11,37
False Arrest,topic_5,58
Illegal Search,topic_11,49
Domestic,topic_4,25
False Arrest,topic_9,125
False Arrest,topic_2,73
Use Of Force,topic_0,10
Traffic,topic_0,10
Verbal Abuse,topic_0,6
Drug / Alcohol Abuse,topic_13,5
Illegal Search,topic_14,36
Drug / Alcohol Abuse,topic_10,1
Excessive Force,topic_12,7
Conduct Unbecoming (Off-Duty),topic_16,14
Conduct Unbecoming (Off-Duty),topic_0,20
Conduct Unbecoming (Off-Duty),topic_1,3
Operation/Personnel Violations,topic_13,28
Conduct Unbecoming (Off-Duty),topic_8,50
Traffic,topic_3,4
Verbal Abuse,topic_3,38
False Arrest,topic_7,56
Operation/Personnel Violations,topic_16,43
Use Of Force,topic_19,32
Operation/Personnel Violations,topic_5,74
Illegal Search,topic_9,70
False Arrest,topic_16,25
Illegal Search,topic_4,33
Criminal Misconduct,topic_6,2
Conduct Unbecoming (Off-Duty),topic_10,11
Excessive Force,topic_17,2
Drug / Alcohol Abuse,topic_14,6
Drug / Alcohol Abuse,topic_15,2
Verbal Abuse,topic_14,1
Domestic,topic_2,10
Conduct Unbecoming (Off-Duty),topic_4,2
Drug / Alcohol Abuse,topic_18,5
Illegal Search,topic_19,9
Domestic,topic_8,19
Supervisory Responsibilities,topic_18,29
Lockup Procedures,topic_12,36
Domestic,topic_6,2
Verbal Abuse,topic_12,14
False Arrest,topic_12,72
Bribery / Official Corruption,topic_12,3
Domestic,topic_0,2
Operation/Personnel Violations,topic_17,37
Illegal Search,topic_3,24
Use Of Force,topic_17,13
Verbal Abuse,topic_17,2
Lockup Procedures,topic_15,28
Conduct Unbecoming (Off-Duty),topic_13,4
Lockup Procedures,topic_19,17
False Arrest,topic_14,11
Use Of Force,topic_11,13
