#,id,count,id,count
1,62,3,,
2,129,7,,
3,170,16,,
4,183,19,183,1
5,203,18,,
6,238,15,,
7,283,11,,
8,372,18,372,1
9,403,25,,
10,425,41,,
11,450,8,,
12,451,16,,
13,515,8,,
14,519,27,,
15,520,48,,
16,576,34,576,1
17,579,63,579,7
18,615,21,615,4
19,632,30,632,1
20,633,19,633,1
21,676,19,,
22,678,22,678,2
23,697,5,,
24,725,28,,
25,835,7,,
26,850,18,850,3
27,858,16,,
28,885,36,885,1
29,889,35,889,5
30,909,21,909,4
31,943,22,,
32,979,25,979,1
33,1036,9,,
34,1063,47,1063,1
35,1146,34,,
36,1175,17,,
37,1177,9,1177,2
38,1179,35,1179,2
39,1183,41,,
40,1220,4,,
41,1251,14,1251,3
42,1262,13,,
43,1316,21,1316,1
44,1357,16,1357,3
45,1414,11,,
46,1630,6,,
47,1706,17,1706,3
48,1722,18,,
49,1800,28,,
50,1868,39,,
51,1884,13,,
52,1924,21,1924,1
53,1930,3,,
54,1971,27,1971,2
55,1974,22,1974,4
56,1995,20,,
57,2008,30,2008,2
58,2047,12,,
59,2153,27,,
60,2161,15,2161,1
61,2201,16,2201,2
62,2228,21,,
63,2269,17,2269,4
64,2290,18,2290,1
65,2292,5,,
66,2298,11,2298,1
67,2307,67,2307,4
68,2334,16,,
69,2336,11,,
70,2352,18,2352,3
71,2369,62,2369,2
72,2394,49,2394,2
73,2416,27,2416,1
74,2433,30,2433,4
75,2470,35,,
76,2526,20,2526,1
77,2528,26,2528,1
78,2570,9,,
79,2597,27,2597,2
80,2615,8,,
81,2628,30,2628,1
82,2669,54,2669,2
83,2671,40,,
84,2725,84,2725,2
85,2803,19,,
86,2829,28,2829,1
87,2885,4,,
88,2936,10,,
89,3000,54,3000,2
90,3027,16,3027,2
91,3034,12,,
92,3056,53,,
93,3133,37,,
94,3186,22,,
95,3199,7,,
96,3202,14,,
97,3226,21,,
98,3260,21,3260,1
99,3277,79,3277,1
100,3286,47,3286,2
101,3295,14,,
102,3337,19,,
103,3388,32,3388,3
104,3393,19,3393,1
105,3422,24,,
106,3432,10,,
107,3444,42,,
108,3447,67,3447,4
109,3502,11,3502,1
110,3549,27,,
111,3564,16,,
112,3605,54,3605,2
113,3663,39,3663,5
114,3744,8,3744,1
115,3761,72,3761,2
116,3771,47,3771,5
117,3790,16,,
118,3791,31,3791,2
119,3795,9,,
120,3808,77,,
121,3824,26,3824,1
122,3832,13,,
123,3841,7,,
124,3858,13,,
125,3875,27,,
126,3897,100,3897,3
127,3912,26,3912,2
128,3927,40,3927,1
129,3978,18,,
130,4006,8,,
131,4007,30,,
132,4026,16,,
133,4062,25,4062,3
134,4073,12,4073,1
135,4101,13,,
136,4103,11,,
137,4170,15,,
138,4212,50,4212,2
139,4232,9,,
140,4263,30,4263,4
141,4264,25,,
142,4281,12,4281,1
143,4295,34,,
144,4323,39,4323,2
145,4324,47,4324,2
146,4332,42,4332,1
147,4357,26,,
148,4456,12,,
149,4458,17,,
150,4480,5,4480,1
151,4484,33,,
152,4495,54,4495,9
153,4520,8,,
154,4527,24,4527,2
155,4600,14,,
156,4761,10,,
157,4776,4,,
158,4824,13,4824,1
159,4858,10,,
160,4884,28,4884,3
161,4961,40,4961,1
162,5057,5,,
163,5085,2,,
164,5089,14,,
165,5205,34,5205,5
166,5216,15,,
167,5252,14,,
168,5272,21,,
169,5347,18,5347,1
170,5390,17,,
171,5406,37,5406,2
172,5416,43,5416,1
173,5444,90,5444,2
174,5445,37,,
175,5446,27,5446,1
176,5485,19,,
177,5491,29,,
178,5531,53,5531,1
179,5548,13,,
180,5587,49,5587,2
181,5618,44,5618,1
182,5627,12,,
183,5632,19,,
184,5683,10,5683,1
185,5739,67,5739,3
186,5763,44,5763,4
187,5809,17,,
188,5820,35,5820,1
189,5854,33,5854,1
190,5859,7,,
191,5903,17,,
192,5927,23,5927,2
193,5929,35,5929,3
194,5966,13,,
195,6043,38,,
196,6045,18,,
197,6072,19,6072,1
198,6131,5,6131,1
199,6225,12,6225,1
200,6234,17,6234,3
201,6250,10,6250,2
202,6273,7,,
203,6285,15,6285,1
204,6295,13,6295,3
205,6362,12,,
206,6371,18,,
207,6380,8,6380,1
208,6393,52,6393,3
209,6400,33,6400,3
210,6451,46,6451,6
211,6540,13,,
212,6553,46,6553,1
213,6563,54,,
214,6620,26,6620,3
215,6629,13,,
216,6645,4,,
217,6649,10,,
218,6659,28,,
219,6676,3,,
220,6683,6,,
221,6704,17,6704,1
222,6741,10,,
223,6765,25,,
224,6797,46,6797,1
225,6822,15,,
226,6836,21,,
227,6949,28,,
228,7015,58,7015,3
229,7045,20,,
230,7154,39,,
231,7190,14,7190,2
232,7195,37,7195,1
233,7199,36,7199,1
234,7201,19,,
235,7232,26,,
236,7242,32,,
237,7265,35,7265,1
238,7271,13,7271,1
239,7272,10,7272,1
240,7339,67,,
241,7359,8,,
242,7391,56,7391,10
243,7394,41,7394,1
244,7538,27,7538,1
245,7568,12,7568,3
246,7587,17,,
247,7607,18,,
248,7706,6,,
249,7712,49,7712,4
250,7715,12,7715,1
251,7751,15,,
252,7754,15,7754,1
253,7812,16,,
254,7817,18,7817,2
255,7867,16,7867,1
256,7967,6,,
257,7972,29,7972,1
258,7974,23,7974,1
259,7982,45,,
260,7993,29,7993,2
261,8040,12,8040,1
262,8058,18,8058,1
263,8100,27,,
264,8115,9,,
265,8122,9,,
266,8140,35,8140,2
267,8165,27,8165,3
268,8169,19,,
269,8214,6,,
270,8280,17,8280,1
271,8342,28,8342,4
272,8374,26,8374,1
273,8375,65,8375,1
274,8386,56,8386,1
275,8403,13,8403,4
276,8406,11,,
277,8425,21,,
278,8445,9,,
279,8476,25,8476,3
280,8500,38,8500,1
281,8501,9,,
282,8518,20,,
283,8620,32,,
284,8628,66,,
285,8657,13,,
286,8658,95,8658,6
287,8683,13,8683,2
288,8706,51,,
289,8780,11,,
290,8790,15,,
291,8816,27,8816,5
292,8880,58,,
293,8909,14,8909,1
294,8915,13,,
295,8924,10,,
296,8935,12,8935,1
297,8950,8,,
298,8958,16,,
299,8974,67,8974,2
