#,officer_id,crew_id,detected_crew,num_officer_complaints,num_disciplinary_actions,discipline_ratio
1,21468,109,true,127,0,-127
2,25799,81,true,91,0,-91
3,3808,751,true,77,0,-77
4,32255,562,true,76,0,-76
5,32284,360,true,76,0,-76
6,3216,356,false,73,0,-73
7,24521,1343,true,71,0,-71
8,12491,1134,true,70,0,-70
9,6944,1093,false,70,0,-70
10,1553,1615,false,69,0,-69
11,12479,1288,true,69,0,-69
12,13169,393,false,68,0,-68
13,6678,281,false,67,0,-67
14,10724,285,false,67,0,-67
15,18205,334,true,67,0,-67
16,7339,232,true,67,0,-67
17,8628,211,true,66,0,-66
18,18453,335,true,66,0,-66
19,17182,552,true,64,0,-64
20,17274,1001,false,62,0,-62
21,27439,396,false,62,0,-62
22,4118,492,false,61,0,-61
23,6343,1313,false,61,0,-61
24,13937,208,false,61,0,-61
25,16385,796,false,61,0,-61
26,4758,755,false,60,0,-60
27,27651,324,false,59,0,-59
28,8880,390,true,58,0,-58
29,32220,1329,false,58,0,-58
30,21124,207,true,57,0,-57
31,21118,1053,true,57,0,-57
32,21703,305,true,56,0,-56
33,31837,238,false,56,0,-56
34,11713,108,true,56,0,-56
35,21098,937,false,55,0,-55
36,31211,747,true,54,0,-54
37,6563,444,true,54,0,-54
38,28879,70,false,54,0,-54
39,22644,1354,false,54,0,-54
40,3056,1393,true,53,0,-53
41,16380,21,true,53,0,-53
42,19150,87,true,53,0,-53
43,32142,543,false,53,0,-53
44,31872,414,false,53,0,-53
45,20913,761,true,52,0,-52
46,32237,726,false,52,0,-52
47,15891,943,false,52,0,-52
48,4927,210,false,52,0,-52
49,22044,1134,true,52,0,-52
50,32328,407,false,52,0,-52
51,27217,227,false,52,0,-52
52,8706,916,true,51,0,-51
53,20941,1002,false,51,0,-51
54,10235,422,false,50,0,-50
55,9694,1075,true,50,0,-50
56,14163,47,false,50,0,-50
57,13303,1402,false,50,0,-50
58,12825,1137,false,49,0,-49
59,20154,16,true,49,0,-49
60,30322,225,false,49,0,-49
61,8852,1361,false,49,0,-49
62,21514,1329,false,49,0,-49
63,4269,1052,false,48,0,-48
64,15592,829,false,48,0,-48
65,520,1075,true,48,0,-48
66,29940,506,false,48,0,-48
67,25031,424,true,48,0,-48
68,13309,3,true,48,0,-48
69,16680,657,false,48,0,-48
70,25976,44,false,48,0,-48
71,32041,25,true,47,0,-47
72,18082,180,true,47,0,-47
73,31983,386,false,47,0,-47
74,21320,348,true,47,0,-47
75,27614,687,true,47,0,-47
76,18112,3,true,47,0,-47
77,22610,572,false,47,0,-47
78,26025,597,false,47,0,-47
79,32383,213,true,47,0,-47
80,11855,458,false,46,0,-46
81,13361,878,true,46,0,-46
82,31948,204,false,46,0,-46
83,19652,1134,true,46,0,-46
84,14190,75,false,45,0,-45
85,10450,1315,false,45,0,-45
86,32401,1642,false,45,0,-45
87,22200,683,false,45,0,-45
88,32126,1187,false,45,0,-45
89,16571,262,false,45,0,-45
90,7982,10,true,45,0,-45
91,5231,981,false,45,0,-45
92,32347,550,true,45,0,-45
93,2145,442,false,45,0,-45
94,29723,1057,false,44,0,-44
95,6680,176,false,44,0,-44
96,24794,1981,false,44,0,-44
97,2168,1332,false,44,0,-44
98,25503,396,false,44,0,-44
99,17864,1343,true,44,0,-44
100,14896,1610,false,44,0,-44
101,15360,342,true,44,0,-44
102,13434,424,true,44,0,-44
103,32314,614,false,43,0,-43
104,17946,220,true,43,0,-43
105,27001,486,false,43,0,-43
106,14058,799,true,43,0,-43
107,20653,58,false,43,0,-43
108,16608,238,false,43,0,-43
109,14743,640,false,43,0,-43
110,32034,360,true,43,0,-43
111,19578,219,true,43,0,-43
112,29452,745,false,43,0,-43
113,12383,571,false,43,0,-43
114,3444,62,true,42,0,-42
115,23153,1994,false,42,0,-42
116,13273,1030,false,42,0,-42
117,16304,107,true,42,0,-42
118,22966,390,true,42,0,-42
119,4816,785,false,42,0,-42
120,31802,118,false,42,0,-42
121,22448,523,true,42,0,-42
122,26120,1119,false,42,0,-42
123,15231,48,false,42,0,-42
124,17830,50,false,42,0,-42
125,28138,436,true,42,0,-42
126,24311,229,false,42,0,-42
127,24918,524,false,41,0,-41
128,11246,1262,false,41,0,-41
129,29670,213,true,41,0,-41
130,26888,110,false,41,0,-41
131,31141,100,true,41,0,-41
132,5880,963,false,41,0,-41
133,3358,38,false,41,0,-41
134,9796,751,true,41,0,-41
135,26616,98,false,41,0,-41
136,16812,219,true,41,0,-41
137,12932,1453,true,41,0,-41
138,23239,342,true,41,0,-41
139,1183,552,true,41,0,-41
140,425,64,true,41,0,-41
141,5158,209,false,41,0,-41
142,6189,1,false,40,0,-40
143,21897,436,true,40,0,-40
144,22510,1749,false,40,0,-40
145,32165,115,true,40,0,-40
146,21590,218,false,40,0,-40
147,32256,892,true,40,0,-40
148,32268,416,false,40,0,-40
149,23716,21,true,40,0,-40
150,31710,476,false,40,0,-40
151,2671,184,true,40,0,-40
152,20250,520,true,40,0,-40
153,8252,1461,false,40,0,-40
154,20987,123,false,40,0,-40
155,20125,1099,false,40,0,-40
156,1868,2090,true,39,0,-39
