id,gender,race,appointed_date,active,complaint_percentile,civilian_allegation_percentile,last_unit_id,crid,incident_date,point,beat_id,location,allegation_category_id,disciplined,crew_id
62,F,Hispanic,2009-12-16,Yes,54.1898,60.9577,7,1046124,2011-06-10 00:00:00+00,,216,Private Residence,71,false,3
62,F,Hispanic,2009-12-16,Yes,54.1898,60.9577,7,1045770,2011-05-19 00:00:00+00,0101000020E6100000EFF5FFBB4FE955C0EE395563AEDF4440,228,Public Way - Other,204,false,3
62,F,Hispanic,2009-12-16,Yes,54.1898,60.9577,7,1044863,2011-04-19 00:00:00+00,,235,Private Residence,71,false,3
129,M,White,2002-10-28,No,59.2551,65.0477,26,303115,2005-01-13 00:00:00+00,0101000020E61000003DF20703CFE655C0E08B8A9356E44440,274,Public Property - Other,70,false,35
129,M,White,2002-10-28,No,59.2551,65.0477,26,295039,2004-01-11 00:00:00+00,0101000020E6100000DFDE35E84BEE55C0431B800D88F04440,77,Public Way - Other,32,false,35
129,M,White,2002-10-28,No,59.2551,65.0477,26,1073461,2015-01-21 00:00:00+00,0101000020E6100000FF8E4D97EAED55C0FA04F5D2B9F74440,166,Public Way - Other,204,false,35
129,M,White,2002-10-28,No,59.2551,65.0477,26,1026164,2009-04-16 00:00:00+00,0101000020E6100000DE9E31DD35E755C08AA9995A5BE24440,207,Public Way - Other,75,,35
129,M,White,2002-10-28,No,59.2551,65.0477,26,1024960,2009-03-23 00:00:00+00,0101000020E6100000C0BCB66DCEE655C04A3B7F2436E44440,274,Public Way - Other,205,false,35
129,M,White,2002-10-28,No,59.2551,65.0477,26,1018983,2008-07-22 00:00:00+00,,207,Private Residence,156,false,35
129,M,White,2002-10-28,No,59.2551,65.0477,26,1018428,2008-07-22 00:00:00+00,0101000020E6100000A190532A17E755C0C675429E13E24440,207,Public Way - Other,204,false,35
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,271727,2001-05-28 00:00:00+00,0101000020E610000019051C9D4EE855C01F16C50666F04440,,Public Way - Other,104,false,899
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,C241622,1997-11-14 00:00:00+00,0101000020E6100000736E6EA788EC55C066EEC62709FE4440,,"",96,false,899
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,C239530,1997-08-26 00:00:00+00,0101000020E6100000A9C76C7F9DEC55C003C6449440FE4440,,"",101,false,899
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,C217683,1995-05-10 00:00:00+00,0101000020E61000002446CF2DF4EC55C04AC4A574FAFA4440,,"",71,false,899
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,C217633,1995-05-11 00:00:00+00,0101000020E6100000DB745F29A6ED55C06F7143424AFA4440,,"",71,false,899
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,C215009,1995-01-14 00:00:00+00,0101000020E61000007845F0BF95EA55C0EDF483BA48FB4440,,"",104,false,899
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,C214324,1994-11-02 00:00:00+00,0101000020E6100000FE0A3E7290EB55C0D1741B79C5014540,,"",205,false,899
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,C210559,1994-07-16 00:00:00+00,0101000020E61000005C10DB2791EA55C0154D0C6E10FE4440,,"",98,false,899
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,C204670,1993-10-28 00:00:00+00,,,"",99,false,899
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,C197710,1993-01-04 00:00:00+00,0101000020E61000002772778CE1EA55C0B1E88CDE5FFD4440,,"",101,false,899
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,C196406,1992-11-06 00:00:00+00,0101000020E6100000D7EFD30245EB55C0A279A5D189FB4440,,"",71,false,899
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,C184968,1991-06-16 00:00:00+00,0101000020E6100000818AF4EC83E755C0011A000572F04440,,"",98,false,899
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,1078523,2015-12-17 00:00:00+00,0101000020E61000000A922D814AEE55C0E18B40063CFB4440,8,Public Way - Other,72,false,899
170,M,Hispanic,1991-01-02,Yes,65.8477,47.6380,215,1061127,2013-04-01 00:00:00+00,0101000020E61000007113FFC151EE55C019FED30D14F34440,65,Public Way - Other,98,false,899
