last_unit_id,officer_age_incident,coaccused_count,complaint_percentile
Unit 10,32.0,2,84.6051
Unit 20,34.0,2,89.2094
Unit 206,36.0,14,60.376
Unit 7,36.0,1,99.8968
Unit 31,50.0,1,93.8191
Unit 3,31.0,1,88.193
Unit 212,40.0,3,34.1061
Unit 13,32.0,2,69.3936
Unit 9,35.0,2,85.5145
Unit 208,28.0,6,31.5769
Unit 153,44.0,3,93.1278
Unit 10,32.0,1,95.4568
Unit 2,51.0,2,98.0436
Unit 215,41.0,2,55.4583
Unit 17,47.0,1,75.2825
Unit 149,39.0,3,53.5631
Unit 208,31.0,3,84.5058
Unit 149,27.0,2,83.5161
Unit 206,59.0,1,18.5743
Unit 4,36.0,1,99.8548
Unit 5,24.0,3,84.4905
Unit 4,35.0,1,67.3242
Unit 35,40.0,3,72.4708
Unit 5,28.0,2,92.3197
Unit 215,41.0,1,47.9118
Unit 7,32.0,1,84.9031
Unit 5,29.0,4,99.018
Unit 16,42.0,1,87.2836
Unit 10,36.0,3,56.7384
Unit 21,52.0,1,83.9233
Unit 18,29.0,4,75.5225
Unit 13,33.0,1,70.8723
Unit 7,53.0,2,37.4307
Unit 175,27.0,15,92.698
Unit 17,52.0,2,74.9152
Unit 13,44.0,2,77.1285
Unit 136,56.0,1,67.3522
Unit 10,35.0,2,43.6896
Unit 215,31.0,6,88.6401
Unit 8,35.0,2,94.9295
Unit 134,54.0,1,82.8328
Unit 19,30.0,1,0.0
Unit 173,39.0,10,93.487
Unit 212,31.0,3,69.2828
Unit 10,43.0,10,50.1318
Unit 16,31.0,2,97.971
Unit 18,41.0,9,68.8083
Unit 10,34.0,2,78.0253
Unit 16,28.0,4,48.122
Unit 12,50.0,1,27.9775
Unit 25,45.0,7,21.2525
Unit 3,43.0,2,43.7424
Unit 40,42.0,1,69.4007
Unit nan,47.0,1,
Unit 9,49.0,2,48.033
Unit 30,31.0,1,
Unit 20,28.0,4,40.9056
Unit 20,42.0,1,37.6418
Unit 212,42.0,4,96.5152
Unit 9,26.0,2,96.6948
Unit 8,30.0,2,68.7784
Unit 144,37.0,2,34.3204
Unit 2,35.0,2,79.7524
Unit 15,27.0,1,67.0513
Unit 7,33.0,2,93.2203
Unit 36,40.0,6,58.7164
Unit nan,49.0,7,67.6688
Unit 13,29.0,2,66.4896
Unit 4,43.0,3,22.0397
Unit 208,43.0,3,88.9687
Unit 9,38.0,1,92.3196
Unit 7,50.0,3,99.8968
Unit 5,34.0,1,92.3197
Unit 174,34.0,16,99.0753
Unit 6,30.0,1,91.4753
Unit 11,44.0,2,79.0035
Unit 215,40.0,3,87.1308
Unit 7,47.0,10,67.0206
Unit 9,47.0,2,94.2532
Unit 20,31.0,2,34.6987
Unit 26,32.0,9,97.0655
Unit 8,42.0,1,74.1737
Unit 16,29.0,1,72.3281
Unit 4,29.0,2,95.6708
Unit 215,50.0,3,63.6927
Unit 20,42.0,3,74.2157
Unit 11,43.0,1,68.6286
Unit 2,45.0,3,98.0054
Unit 36,40.0,1,33.5731
Unit 2,47.0,1,66.1075
Unit 2,39.0,2,58.966
Unit 173,39.0,11,64.4759
Unit 24,26.0,3,76.9822
Unit 7,60.0,1,98.2281
Unit 149,32.0,2,92.4076
Unit 18,53.0,1,26.1856
Unit 12,31.0,1,99.8242
Unit 9,42.0,9,73.6793
Unit 5,32.0,1,79.3741
Unit 83,46.0,2,34.1778
Unit 6,31.0,1,65.3204
Unit 13,50.0,7,27.2745
Unit 26,33.0,2,59.1838
Unit 208,40.0,1,46.5821
Unit 35,48.0,2,55.0386
Unit 106,28.0,2,75.3468
Unit 6,39.0,10,71.2544
Unit 16,29.0,2,87.318
Unit 172,50.0,2,92.296
Unit 11,40.0,2,73.8795
Unit 151,42.0,2,97.2641
Unit 20,52.0,1,98.0398
Unit 9,47.0,4,62.4097
Unit 221,47.0,5,34.243
Unit 10,32.0,2,99.5033
Unit 21,28.0,2,50.0478
Unit 11,55.0,2,77.9728
Unit 145,45.0,1,52.7088
Unit 11,35.0,2,76.5083
