title,value
2,7159393
3,16312752
4,9734287
5,5456127
6,6153239
7,7866491
8,5642910
9,3857865
10,8039900
11,17976555
12,19457770
13,602396
14,2355111
15,1282393
16,6687499
17,237500
18,1653004
19,3487850
20,1275500
21,335000
22,895750
23,1782500
24,4576502
25,446143
26,14326239
30,7937681
31,201505
42,69000
53,100000
65,170000
80,5944250
83,90000
107,5717250
119,8246491
132,45000
142,970000
148,6680000
149,6378155
151,3000
152,246000
153,11876752
156,45000
160,1619148
162,5467250
168,4685523
172,99000
173,733150
174,295500
175,278500
176,515003
177,847501
179,40000
183,438903
191,22500
194,9600
198,5482250
200,4755000
204,265000
206,250000
208,12687250
211,18677750
212,760147
214,37350000
215,717500
217,20205000
218,2811650
221,2087895
225,3100000
229,327750
236,2500
255,77750
